section,category,legal_basis,item_code,description
①全体,共通,"令3章8節",a,柱、はり、壁、スラブの位置の確認
①全体,共通,令79,b,かぶり厚さの確保
①全体,共通,法37,c,鉄筋の材質（JIS規格）の確認
①全体,共通,法37,d,コンクリートの材質（JIS規格）の確認
②地盤・基礎,支持地盤,"令38, 令93, 告1113",a,支持地盤の位置、種類、地耐力等の確認
②地盤・基礎,支持地盤,"令38, 令93, 告1113",b,くいの支持地盤の位置、種類の確認（載荷試験を含む）
②地盤・基礎,くい・地盤改良等,"令38, 令73, 告1347, 告1113",c,場所打ちくいの材料、工法、長さ、径、位置、くい頭処理、継手、主筋径・数、かぶり、偏心による補強等の確認
②地盤・基礎,くい・地盤改良等,"令38, 令73, 告1347, 告1113",d,PCくいの材料、工法、長さ、径、位置、くい頭処理、継手、偏心による補強等の確認
②地盤・基礎,くい・地盤改良等,"令38, 令73, 告1347, 告1113",e,鋼管くいの材料、工法、長さ、径、位置、くい頭処理、継手、偏心による補強等の確認
②地盤・基礎,基礎の種類・配筋,"令38, 令73, 告1347",m,べた基礎の種類、部材寸法、主筋の径、本数、位置、ピッチ、定着等の確認
②地盤・基礎,地中ばり,"令38, 令73, 令78, 告1347",p,地中ばりの断面寸法、主筋径、本数、位置、定着方法、継手、あばら筋、偏心補強、貫通孔補強等の確認
②地盤・基礎,マスコンクリート,"令74, 令75",q,打設計画、コンクリートの温度、気温、養生、コンクリートの状態、補修等の確認
②地盤・基礎,柱脚,"令66, 告1456",r,露出型柱脚のアンカーボルト配置、定着長さ、形状、断面積、戻り止め、ベースプレート板厚、孔径、縁端距離等の確認
③柱,一般階主筋,令77,a,柱寸法、主筋の径、本数、配置、偏心による補強等の確認
③柱,最上階主筋,令73,c,柱頭鉄筋の止まり高さ、主筋の出隅フック、最上階主筋のはりに対する定着確認
③柱,定着・継手,令73,e,主筋の継手位置及び長さの確認
③柱,帯筋,令77,h,鉄筋径、間隔、本数（副帯筋共）及び形状の確認
④はり,はり主筋,令78,a,はり断面寸法、はり主筋の径、本数及び位置の確認
④はり,定着・継手,"令73, 令78",c,はり筋の定着長さ、位置確認
④はり,定着・継手,"令73, 令78",d,重ね継手の位置と長さ確認
④はり,打増し・貫通孔補強,令3章8節,f,打増しの補強方法、貫通孔の位置及び補強の確認
④はり,あばら筋,令78,g,あばら筋の径、本数（副あばら筋共）とピッチの確認
⑤スラブ,スラブ筋,令77の2,a,スラブ厚さの支持条件、寸法、鉄筋のピッチと径の確認
⑤スラブ,定着・重ね継手,"令73, 令77の2",c,定着と長さと方法（はり定着、隣接スラブ、段差スラブ定着）
⑤スラブ,補強筋等,令3章8節,g,開口部補強配筋確認
⑥壁,壁筋,令78の2,a,壁厚、鉄筋の径、ピッチ、位置（土圧壁主筋・階段受け筋）の確認
⑥壁,定着・重ね継手,"令73, 令78の2",b,定着確認（はり、柱、スラブ、壁定着）
⑥壁,補強筋等,令78の2,d,開口補強配筋確認
⑦その他,設備配管等,,a,設備配管（CD管等）の配置確認
⑦その他,ガス圧接継手,"令73, 告1463",b,圧接部の長さ及び膨らみの直径、圧接面のずれ、鉄筋中心軸の偏心量の確認
⑦その他,ガス圧接継手,令73,c,圧接部の検査（引張試験、超音波探傷試験等）の検査箇所、検査率、合格率等の確認
⑦その他,特殊鉄筋継手,,d,認定、評定工法の仕様及び継手性能の確認
⑦その他,型枠及び既存打設部分状況確認,"令37, 令79",f,型枠及び支柱の締付け、清掃状況確認
⑦その他,型枠及び既存打設部分状況確認,"令37, 令79, 告1372",g,ジャンカ処理、型枠等木片撤去補修確認
⑦その他,型枠及び既存打設部分状況確認,令76,i,型枠支柱存置期間の確認
⑦その他,型枠及び既存打設部分状況確認,"令75, 令76",j,コンクリート打設後の養生
⑦その他,型枠及び既存打設部分状況確認,"令72, 令74",k,コンクリートの調合及び圧縮強度の確認
⑦その他,EXP.Jの確認,令36の4,l,位置及び間隔の確認
⑦その他,PCaの品質・強度確認等,令3章6節,m,コンクリートの調合及び圧縮強度の確認
⑦その他,PCaの品質・強度確認等,,n,鉄筋の配筋確認
⑦その他,PCaの品質・強度確認等,告1372,o,かぶり厚さ等の確認
⑦その他,PCaの品質・強度確認等,,p,寸法精度の確認
⑦その他,PCaの品質・強度確認等,,q,接合及び緊結の確認等
⑦その他,PCaの品質・強度確認等,,r,製品検査結果（寸法精度、打ち込み欠陥等）
⑦その他,PCaの品質・強度確認等,,s,建方後の部材についての構造上支障のあるひび割れ等の欠陥の有無
⑦その他,プレストレストコンクリートの定着及び材料等の確認,令80の2等,t,プレストレストコンクリートの定着方法の確認、圧着面のモルタル強度等
⑦その他,プレストレストコンクリートの定着及び材料等の確認,令80の2等,u,プレストレストコンクリートの緊張材料強度の確認
⑦その他,プレストレストコンクリートの定着及び材料等の確認,令80の2等,v,プレストレスト導入時のPC強度の確認
⑦その他,プレストレストコンクリートの定着及び材料等の確認,令80の2等,w,プレストレスト導入張力の確認
⑦その他,屋根ふき材等の緊結の確認,"令39, 告109, 告771",x,屋根ふき材、外装材及び屋外に面する帳壁の構造方法の確認
⑦その他,屋根ふき材等の緊結の確認,"令39, 告109, 告771",y,特定天井の構造方法の確認
⑦その他,屋根ふき材等の緊結の確認,"令39, 告109, 告771",z,特定天井の腐食、腐朽、劣化等に関する確認
⑦その他,建築設備の構造強度の確認,"令129の2の3, 告1388, 告1389",aa,昇降機の構造方法
⑦その他,建築設備の構造強度の確認,"令129の2の3, 告1388, 告1389",ab,昇降機以外の建築設備の構造方法
⑦その他,建築設備の構造強度の確認,"令129の2の3, 告1388, 告1389",ac,屋上水槽等の構造方法
